No.,Code,Question,Answer,Note
1,HT001,Tải app gì để có thể sử dụng?,"Ứng dụng điều khiển tên ""RalliSmart V2"". A/c có thể tải trên CH Play và AppStore. Tương thích với android từ ≥5.0 và iOS ≥10.0",
2,HT002,Ứng dụng điều khiển phần mềm có mất phí không?,"Phần mềm được hoàn toàn miễn phí, Bạn có thể tải từ CH Play hoặc appStore dễ dàng",
3,HT003,App V2 có gì hơn V1? Có những thay đổi như thế nào?,"Sau V1 từ đóng góp ý kiến trong quá trình sử dụng, Rạng Đông đã cải tiến thay đổi với chức năng tiện dùng, hỗ trợ trải nghiệm tốt hơn (Hỗ trợ đa hệ sản phẩm cả wifi và BLE trên cùng 1 app, giảm thao tác khi cài đặt, ...). Ngoài ra Rạng Đông cũng cập nhật nhiều sản phẩm mới cho V2 (VD: bảng điều khiển cảm ứng, cảm biến bụi mịn, nhiệt độ, báo cháy,... cải tiến thiết kế ngoại quan của sản phẩm có từ v1)",
4,HT004,Hệ thống sử dụng chuẩn điều khiển gì,"Hệ thống sản phẩm BLE Rạng Đông sử dụng chuẩn kết nối BLE Bluetooth Low Energy giúp tối ưu năng lượng tiêu thụ, đảm bảo độ ổn định tín hiệu giữa các thiết bị.",
5,HT005,Sóng Bluetooth Rạng Đông đang dùng có ảnh hưởng đến sức khỏe con người không?,"Công suất phát xạ thiết bị bluetooth của Rạng Đông 10mW < 100mW phù hợp với thông tư 08/2021/TT-BTTTT, tần số hoạt động trong dải 2.4GHz",
6,HT006,Hệ thống sản phẩm smartHome gồm những thiết bị nào?,"Hệ thống SmartHome bao gồm:
 Giải pháp chiếu sáng thông minh : đèn chiếu sáng ( góc rộng, góc hẹp, đèn RGB,….) 
 Thiết bị công tắc: công tắc 1, 2, 3, 4 nút, Rèm cửa, cửa cuốn, cổng, công tắc nóng lạnh (chỉ có 1 nút)…switch off 
 Cảm biến: CB khói; CB cửa; Cảm biến ánh sáng; CB chuyển động; CB bụi mịn; CB nhiệt độ, độ ẩm.
 Thiết bị điều khiển: bảng cảnh (AC dùng điện lắp âm tường , DC cầm tay, không dây không pin ); màn hình điều khiển cảm ứng; ứng dụng trên điện thoại.
 HC: Bộ điều khiển trung tâm, được coi là bộ nào của ngôi nhà, cho phép kết nối và quản lý các thiết bị điện trong nhà, lưu trữ các kịch bản cài đặt
 Bộ điều khiển hồng ngoại để điều khiển ti vi điều hòa quạt,... ổ cắm,...
 Giải Pháp an ninh : cảm biến cửa , camera...
 Các thiết bị addon: Loa thông minh, camera, khoá cửa, quạt,...",
7,HT007,Khoảng cách kết nối giữa các thiết bị là bao nhiêu,"Khoảng cách kết nối giữa 2 thiết bị gần nhất là 50m trong điều kiện không có vật cản, khi có vật cản chẳng hạn như trần bê tông, tưởng gạch thì khoảng cách sẽ giảm xuống 20m
Đặc biệt với công nghệ Bluetooth Mesh sẽ giúp tín hiệu điều khiển có thể truyền tiếp giữa các thiết bị đảm bảo tới đúng thiết bị cần điều khiển => mở rộng phạm vi kết nối",
8,HT008,Các thiết bị điều khiển có ảnh hưởng lẫn nhau không?,"Các thiết bị điều khiển hoạt động độc lập không ảnh hưởng tới nhau. Thiết bị sẽ kích hoạt kịch bản cuối cùng nó nhận được. Khi bạn sử dụng smartphone, rồi lập tức sử dụng bảng cảnh đèn sẽ kích hoạt kịch bản mà không sợ hỏng thiết bị.",
9,HT009,Chi phí đầu tư so với hệ truyền thống chênh lệnh như thế nào?,"Sự khác nhau giữa hệ thống điện thông minh với hệ thống điện truyền thống chủ yếu khác nhau ở thiết bị cuối: Công tắc điều khiển, đèn chiếu sáng, cảm biến; còn hệ thống dây dẫn, ống vẫn tương tự hệ thống điện thông thường do đó tuỳ thuộc vào mức độ đầu tư của KH sẽ có sự chênh lệch khác nhau giữa hệ thống điện thông minh với hệ thống điện truyền thống. 
Chẳng hạn khi chỉ đầu tư hệ thống công tắc thông minh còn sử dụng đèn thường thì chi phí chỉ gấp 1,5 lần so với hệ thống cũ
Còn nếu đầu tư full hệ thống Smart thì phí đầu tư ban đầu có thể sẽ gấp 3-4 lần so với sản phẩm truyền thống, Nhưng lợi ích mà nó mang lại cũng tương ứng với giá thành. Sức khoẻ cải thiện, tiện ích nâng cao, an ninh an toàn.",
10,HT010,Trung bình 1 chung cư 2 ngủ 75m2 đầu tư hết bao nhiêu tiền,"Trung bình 1 căn chung cư 2 ngủ 75m2 nếu chỉ thay hệ thống công tắc thì chi phí sẽ chỉ rơi vào khoảng 10-12tr 
Nếu lắp full hệ thống Smarthome thì chi phỉ sẽ rơi vào khoảng 25-30tr",
11,HT011,Mua đèn và công tắc có điều khiển từ xa được không?,"Khách hàng có thể mua hệ thống đèn BLE và công tắc thông minh BLE mà chưa cần mua HC bằng cách sử dụng app RalliBluetooth để điều khiển các cảnh sáng, thay đổi màu ánh sáng hay cường độ sáng của các đèn thông qua điện thoại khi ở nhà, tuy nhiên cần lưu ý:

Không có HC, KH sẽ không điều khiển từ xa , hay giám sát các thiết bị trực tuyến khi đi ra ngoài được.",
